timestamp,Basel Temperature [2 m elevation corrected],Basel Soil Moisture [0-10 cm down]
20220127T0600,1.4405286,0.263
20220127T0700,1.2605287,0.263
20220127T0800,1.4705287,0.263
20220127T0900,2.1105285,0.263
20220127T1000,4.1505284,0.262
20220127T1100,5.7705283,0.262
20220127T1200,5.1605287,0.259
20220127T1300,5.9005284,0.258
20220127T1400,5.9005284,0.258
20220127T1500,5.6205287,0.257
20220127T1600,4.5805287,0.257
20220127T1700,3.0205286,0.257
20220127T1800,2.1705287,0.257
20220127T1900,2.6005285,0.257
20220127T2000,2.9805286,0.258
20220127T2100,2.9805286,0.267
20220127T2200,3.1905286,0.268
20220127T2300,3.1505284,0.268
20220128T0000,3.1105285,0.268
20220128T0100,3.1205285,0.268
20220128T0200,3.0605285,0.267
20220128T0300,2.9905286,0.267
20220128T0400,2.7205286,0.267
20220128T0500,2.5105286,0.267
20220128T0600,2.3205285,0.266
20220128T0700,2.0605285,0.266
20220128T0800,2.0305285,0.266
20220128T0900,2.7605286,0.266
20220128T1000,3.5605285,0.265
20220128T1100,4.5205283,0.265
20220128T1200,6.4605284,0.259
20220128T1300,7.1905284,0.259
20220128T1400,7.4805284,0.258
20220128T1500,7.3405285,0.258
20220128T1600,6.3605285,0.256
20220128T1700,4.7705283,0.256
20220128T1800,3.3205285,0.256
20220128T1900,2.4405286,0.256
20220128T2000,2.0705285,0.257
20220128T2100,2.0805285,0.257
20220128T2200,1.6305287,0.257
20220128T2300,0.79052866,0.257
20220129T0000,1.3005286,0.257
20220129T0100,1.0205287,0.257
20220129T0200,0.92052865,0.257
20220129T0300,0.79052866,0.257
20220129T0400,0.87052864,0.257
20220129T0500,0.46052867,0.257
20220129T0600,1.0905286,0.257
20220129T0700,1.4105287,0.257
20220129T0800,2.4305286,0.257
20220129T0900,4.5705285,0.257
20220129T1000,6.3505287,0.256
20220129T1100,7.9805284,0.256
20220129T1200,7.8505287,0.258
20220129T1300,8.420529,0.258
20220129T1400,8.330529,0.257
20220129T1500,8.460529,0.257
20220129T1600,7.8805285,0.257
20220129T1700,7.6605287,0.257
20220129T1800,7.3205285,0.257
20220129T1900,7.0305285,0.258
